route_id,route_short_name,route_long_name,route_type,route_text_color,route_color,agency_id
VSD65IS,VSD65IS,SADA - MALVAN via MALEWAD,3,,,ktcl-goa-in
VSD66IS,VSD66IS,SADA - KARLI via MALEWAD,3,,,ktcl-goa-in
VSD50IS,VSD50IS,SADA - HONNAWAR,3,,,ktcl-goa-in
PNJ73,PNJ73,PONDA - SAVAI,3,,,ktcl-goa-in
VSD13,VSD13,PONDA - SHIRODA,3,,,ktcl-goa-in
PNJ76,PNJ76,PONDA - SHIRSHIRE via TOP COLA,3,,,ktcl-goa-in
MRG371MB,MRG371MB,PONDA - SURLA,3,cc33ff,,ktcl-goa-in
PNJ79,PNJ79,PONDA - UNDIR via RAMNATHI,3,,,ktcl-goa-in
PNJ30,PNJ30,TIN BLD/COL - VALPOI via MARCEL,3,,,ktcl-goa-in
PNJ74,PNJ74,PONDA - VAGURME via KHANDEPAR,3,,,ktcl-goa-in
PRV132,PRV132,PORVORIM - PANAJI MKT via PANAJI,3,,,ktcl-goa-in
PRV176,PRV176,QUITLA - GALVAR PHC via ALDONA,3,,,ktcl-goa-in
PNJ69,PNJ69,RAJ BHAVAN - MALPAN via PONDA,3,,,ktcl-goa-in
MRG196IS,MRG196IS,RAJBAG - KARWAR,3,,,ktcl-goa-in
VSD35,VSD35,SADA - FMD ENG CLG,3,,,ktcl-goa-in
PNJ31,PNJ31,TONCA - VALPOI,3,,,ktcl-goa-in
PRV39,PRV39,VALPOI - ADVOI via SAVARSHE,3,,,ktcl-goa-in
VSD51IS,VSD51IS,VASCO - KARWAR,3,,,ktcl-goa-in
VSD85IS,VSD85IS,VASCO - KARWAR,3,,,ktcl-goa-in
MRG176E,MRG176E,VASCO - MARGAO via BIRLA,3,00b33c,,ktcl-goa-in
VSD63IS,VSD63IS,VASCO - MIRAJ,3,,,ktcl-goa-in
VSD59IS,VSD59IS,VASCO - MUDDEBEHAL via ANMOD,3,,,ktcl-goa-in
VSD87IS,VSD87IS,VASCO - KARLI,3,,,ktcl-goa-in
VSD29,VSD29,VASCO - POLLEM BDR,3,,,ktcl-goa-in
VSD4,VSD4,VASCO - PONDA via CORTALIM,3,,,ktcl-goa-in
VSD64IS,VSD64IS,VASCO - SAWANTWADI via PATRADEVI,3,,,ktcl-goa-in
MRG179E,MRG179E,VASCO - SHIRODA,3,00b33c,,ktcl-goa-in
MRG372MB,MRG372MB,PONDA - SAKHALI,3,cc33ff,,ktcl-goa-in
VSD72IS,VSD72IS,VASCO - KALABURAGI via CHORLA,3,,,ktcl-goa-in
PRV42,PRV42,VALPOI - HIVRE via PALI,3,,,ktcl-goa-in
PNJ172,PNJ172,VALPOI - KARANZOL via VELGUEM,3,,,ktcl-goa-in
PRV43,PRV43,VALPOI - KUMARKHAN via REDIGHAT,3,,,ktcl-goa-in
PRV40,PRV40,VALPOI - SATRE via NAGARGAO,3,,,ktcl-goa-in
PRV41,PRV41,VALPOI - USTE via NAGARGAO,3,,,ktcl-goa-in
PRV38,PRV38,VALPOI - VELGUEM via SAVARSHE,3,,,ktcl-goa-in
VSD73IS,VSD73IS,VASCO - KALABURAGI via ANMOD,3,,,ktcl-goa-in
PRV44,PRV44,VALPOI - ZARME via MHAUSHI,3,,,ktcl-goa-in
VSD58IS,VSD58IS,VASCO - BELGAVI CBT,3,,,ktcl-goa-in
VSD60IS,VSD60IS,VASCO - BELGAVI CBT,3,,,ktcl-goa-in
VSD33,VSD33,VASCO - CIPLA via BIRLA,3,,,ktcl-goa-in
VSD30,VSD30,VASCO - HARBOUR via SADA,3,,,ktcl-goa-in
VSD14,VSD14,VASCO - HEDODE,3,,,ktcl-goa-in
VSD15,VSD15,VASCO - HEDODE,3,,,ktcl-goa-in
VSD56IS,VSD56IS,VASCO - HUBALI,3,,,ktcl-goa-in
VSD57IS,VSD57IS,VASCO - HUBALI,3,,,ktcl-goa-in
PNJ204,PNJ204,VANXIM FERY - VANXIM FERY,3,,,ktcl-goa-in
MRG373MB,MRG373MB,PONDA - NAVELIM,3,cc33ff,,ktcl-goa-in
PRV72,PRV72,PONDA - NARVA FERRY,3,,,ktcl-goa-in
PRV120,PRV120,PANAJI - VIJAYDURGA via PONDA,3,,,ktcl-goa-in
PNJ33,PNJ33,PANAJI - VIRDI via MARCEL,3,,,ktcl-goa-in
PRV168,PRV168,PANAJI - VOLVOI via MARCEL,3,,,ktcl-goa-in
PRV22,PRV22,PANAJI - ZARME via MAPUSA,3,,,ktcl-goa-in
PRV33,PRV33,PANAJI - ZARME via MARCEL,3,,,ktcl-goa-in
PNJ36,PNJ36,PANAJI MKT - AKHADA via MARCEL,3,,,ktcl-goa-in
PRV149IS,PRV149IS,PANAJI - VIJAYDURGA via KANKAVLI,3,,,ktcl-goa-in
PNJ54,PNJ54,PANAJI MKT - BADEM via MAPUSA,3,,,ktcl-goa-in
PNJ37,PNJ37,PANAJI MKT - CUPA via MARCEL,3,,,ktcl-goa-in
PNJ15E,PNJ15E,PANAJI MKT - CURCHOREM via PONDA,3,00b33c,,ktcl-goa-in
PRV58,PRV58,PANAJI MKT - GOLJUVEM,3,,,ktcl-goa-in
PRV88,PRV88,PANAJI MKT - HALARNA via KULAN,3,,,ktcl-goa-in
PNJ46E,PNJ46E,PANAJI MKT - AMTHANE,3,00b33c,,ktcl-goa-in
PRV87,PRV87,PANAJI MKT - HANKHANE via KULAN,3,,,ktcl-goa-in
PNJ38,PNJ38,PANAJI - VEREM via MARCEL,3,ab2264,,ktcl-goa-in
PRV23,PRV23,PANAJI - VELGUEM via MAPUSA,3,,,ktcl-goa-in
PRV51,PRV51,PANAJI - USAP via ASSNODA,3,,,ktcl-goa-in
PRV153IS,PRV153IS,PANAJI - USAP via DODAMARG,3,,,ktcl-goa-in
MRG73,MRG73,PANAJI - VADE COLONY,3,,,ktcl-goa-in
PNJ200,PNJ200,PANAJI - VAGURME,3,,,ktcl-goa-in
PNJ10,PNJ10,PANAJI - VALPOI via MAPUSA,3,,,ktcl-goa-in
PNJ116IS,PNJ116IS,PANAJI - VENGURLA via MALEWAD,3,,,ktcl-goa-in
PNJ11,PNJ11,PANAJI - VALPOI via MARCEL,3,,,ktcl-goa-in
PNJ105S,PNJ105S,PANAJI - VASCO,3,,,ktcl-goa-in
PNJ3,PNJ3,PANAJI - VASCO,3,,,ktcl-goa-in
MRG11,MRG11,PANAJI - VASCO via CORTALIM,3,,,ktcl-goa-in
MRG175E,MRG175E,PANAJI - VASCO via CORTALIM,3,00b33c,,ktcl-goa-in
PRV2,PRV2,PANAJI - VASCO via CORTALIM,3,,,ktcl-goa-in
MRG114E,MRG114E,PANAJI - VALPOI via MARCEL,3,00b33c,,ktcl-goa-in
PRV116,PRV116,PANAJI MKT - KAIRAT via MAPUSA,3,,,ktcl-goa-in
PNJ78,PNJ78,PONDA - AGAPUR SHMR via TALAULIM,3,,,ktcl-goa-in
PNJ81S,PNJ81S,PONDA - BAMBOLI GMC via PANAJI,3,,,ktcl-goa-in
MRG370MB,MRG370MB,PONDA - BICHOLIM,3,cc33ff,,ktcl-goa-in
PNJ75,PNJ75,PONDA - CODLI TISK via BETODA,3,,,ktcl-goa-in
MRG17,MRG17,PONDA - CURCHOREM,3,,,ktcl-goa-in
MRG16,MRG16,PONDA - CURCHOREM via SHIRODA,3,,,ktcl-goa-in
PRV46,PRV46,PNJ K.AKDMI - SURLA,3,,,ktcl-goa-in
MRG86,MRG86,PONDA - KAMORCOND,3,,,ktcl-goa-in
VSD19,VSD19,PONDA - KUDCHRE TMP via MARCEL,3,,,ktcl-goa-in
PNJ210,PNJ210,PONDA - MARCEL,3,,,ktcl-goa-in
PNJ19,PNJ19,PONDA - MARGAO,3,,,ktcl-goa-in
PNJ77,PNJ77,PONDA - GAVNE via RAMNATHI,3,,,ktcl-goa-in
PRV106,PRV106,PANAJI MKT - KERI,3,,,ktcl-goa-in
PRV27,PRV27,PNJ K.AKDMI - NANODA via MAPUSA,3,,,ktcl-goa-in
PNJ32,PNJ32,PANAJI MKT - VIRDI,3,,,ktcl-goa-in
VSD26,VSD26,PANAJI MKT - MANDRE MDMZ,3,,,ktcl-goa-in
PRV53,PRV53,PANAJI MKT - MAPUSA via SUCCURRO,3,,,ktcl-goa-in
PNJ113,PNJ113,PANAJI MKT - MARGAO via CORTALIM,3,,,ktcl-goa-in
PNJ162,PNJ162,PANAJI MKT - MENKURE,3,,,ktcl-goa-in
PRV32,PRV32,PANAJI MKT - NANELI via MARCEL,3,,,ktcl-goa-in
