trip_id,route_id,service_id,trip_headsign,direction_id
I1:20:00:PNJ:I1:144,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:20:15:PNJ:I3:145,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:20:30:PNJ:I2:146,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:21:00:PNJ:I3:147,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I2:06:00:PNJ:I4:148,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:06:15:PNJ:I5:149,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:06:30:PNJ:I6:150,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:06:45:PNJ:I4:151,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:07:00:PNJ:I5:152,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:07:15:PNJ:I6:153,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:07:30:PNJ:I4:154,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:07:45:PNJ:I5:155,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:08:00:PNJ:I6:156,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:08:15:PNJ:I4:157,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:08:30:PNJ:I5:158,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:08:45:PNJ:I6:159,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:09:00:PNJ:I4:160,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:09:15:PNJ:I5:161,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:09:30:PNJ:I6:162,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:09:45:PNJ:I4:163,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:10:00:PNJ:I5:164,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:10:15:PNJ:I6:165,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:10:30:PNJ:I4:166,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:10:45:PNJ:I5:167,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:11:00:PNJ:I6:168,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:11:30:PNJ:I5:169,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
